director_id,director_name
0,James Cameron
1,Gore Verbinski
2,Sam Mendes
3,Christopher Nolan
4,Andrew Stanton
5,Sam Raimi
6,Byron Howard
7,Nathan Greno
8,Joss Whedon
9,David Yates
10,Zack Snyder
11,Bryan Singer
12,Marc Forster
13,Andrew Adamson
14,Rob Marshall
15,Barry Sonnenfeld
16,Peter Jackson
17,Marc Webb
18,Ridley Scott
19,Chris Weitz
20,Anthony Russo
21,Joe Russo
22,Peter Berg
23,Colin Trevorrow
24,Shane Black
25,Tim Burton
26,Brett Ratner
27,Dan Scanlon
28,Michael Bay
29,Joseph Kosinski
30,John Lasseter
31,Brad Lewis
32,Martin Campbell
33,Lee Unkrich
34,McG
35,James Wan
36,J.J. Abrams
37,Baz Luhrmann
38,Mike Newell
39,Guillermo del Toro
40,Steven Spielberg
41,Peter Sohn
42,Brenda Chapman
43,Mark Andrews
44,Steve Purcell
45,Justin Lin
46,Roland Emmerich
47,Robert Zemeckis
48,Lilly Wachowski
49,Lana Wachowski
50,Pete Docter
51,Conrad Vernon
52,Rob Letterman
53,Jon Favreau
54,Martin Scorsese
55,Rob Cohen
56,David Ayer
57,Tom Shadyac
58,Doug Liman
59,Kevin Reynolds
60,Stephen Sommers
61,Rupert Sanders
62,Robert Stromberg
63,Matt Reeves
64,Roland Joffé
65,Carl Rinsch
66,Mike Mitchell
67,Brad Bird
68,Chris Williams
69,Don Hall
70,Rich Moore
71,Chris Sanders
72,Dean DeBlois
73,Jonathan Mostow
74,James Gunn
75,Hideaki Anno
76,Shinji Higuchi
77,David Fincher
78,Matthew Vaughn
79,Francis Lawrence
80,Jon Turteltaub
81,Wolfgang Petersen
82,James Bobin
83,Chris Miller
84,Raman Hui
85,Duncan Jones
86,Alan Taylor
87,Michael Apted
88,Oliver Stone
89,Jan Pinkava
90,Eric Darnell
91,Tom McGrath
92,Shawn Levy
93,Gavin Hood
94,Chris Buck
95,Jennifer Lee
96,George Miller
97,Ron Howard
98,Kenneth Branagh
