,director_id,director_name
0,2710,James Cameron
1,1704,Gore Verbinski
2,39,Sam Mendes
3,525,Christopher Nolan
4,7,Andrew Stanton
5,7623,Sam Raimi
6,76595,Byron Howard
7,121830,Nathan Greno
8,12891,Joss Whedon
9,11343,David Yates
10,15217,Zack Snyder
11,9032,Bryan Singer
12,12995,Marc Forster
13,5524,Andrew Adamson
14,17633,Rob Marshall
15,5174,Barry Sonnenfeld
16,108,Peter Jackson
17,87742,Marc Webb
18,578,Ridley Scott
19,3288,Chris Weitz
20,19271,Anthony Russo
21,19272,Joe Russo
22,36602,Peter Berg
23,930707,Colin Trevorrow
24,1108,Shane Black
25,510,Tim Burton
26,11091,Brett Ratner
27,225976,Dan Scanlon
28,865,Michael Bay
29,86270,Joseph Kosinski
30,7879,John Lasseter
31,32532,Brad Lewis
32,10702,Martin Campbell
33,8,Lee Unkrich
34,36425,McG
35,2127,James Wan
36,15344,J.J. Abrams
37,6201,Baz Luhrmann
38,10723,Mike Newell
39,10828,Guillermo del Toro
40,488,Steven Spielberg
41,21198,Peter Sohn
42,59803,Brenda Chapman
43,126638,Mark Andrews
44,137262,Steve Purcell
45,58189,Justin Lin
46,6046,Roland Emmerich
47,24,Robert Zemeckis
48,9339,Lilly Wachowski
49,9340,Lana Wachowski
50,12890,Pete Docter
51,12080,Conrad Vernon
52,65630,Rob Letterman
53,15277,Jon Favreau
54,1032,Martin Scorsese
55,18878,Rob Cohen
56,19769,David Ayer
57,4499,Tom Shadyac
58,11694,Doug Liman
59,8300,Kevin Reynolds
60,7775,Stephen Sommers
61,228134,Rupert Sanders
62,1032536,Robert Stromberg
63,32278,Matt Reeves
64,8965,Roland Joffé
65,239571,Carl Rinsch
66,64151,Mike Mitchell
67,7087,Brad Bird
68,70238,Chris Williams
69,227439,Don Hall
70,165787,Rich Moore
71,66193,Chris Sanders
72,69797,Dean DeBlois
73,7213,Jonathan Mostow
74,15218,James Gunn
75,77921,Hideaki Anno
76,80752,Shinji Higuchi
77,7467,David Fincher
78,957,Matthew Vaughn
79,10943,Francis Lawrence
80,12962,Jon Turteltaub
81,5231,Wolfgang Petersen
82,26205,James Bobin
83,12098,Chris Miller
84,12099,Raman Hui
85,81850,Duncan Jones
86,47005,Alan Taylor
87,10781,Michael Apted
88,1152,Oliver Stone
89,7930,Jan Pinkava
90,18863,Eric Darnell
91,18864,Tom McGrath
92,17825,Shawn Levy
93,13079,Gavin Hood
94,15774,Chris Buck
95,1120694,Jennifer Lee
96,20629,George Miller
97,6159,Ron Howard
98,11181,Kenneth Branagh
99,84851,Hoyt Yeatman
100,66739,Jonathan Liebesman
101,9033,Christopher McQuarrie
102,4945,Joe Johnston
103,44113,Steve Hickner
104,44114,Simon J. Smith
105,142312,Jennifer Yuh Nelson
106,11614,M. Night Shyamalan
107,21879,Simon Wells
108,33183,David Bowers
109,58897,Sam Fell
110,36588,Joe Wright
111,18898,Rob Minkoff
112,7256,Lee Tamahori
113,116805,Paul Feig
114,1262481,Alessandro Carloni
115,151007,Peter Ramsey
116,15002,Dean Parisot
117,9181,Edward Zwick
118,21085,Alex Proyas
119,7187,Richard Donner
120,1614,Ang Lee
121,54507,Jon M. Chu
122,52609,Breck Eisner
123,21692,Hironobu Sakaguchi
124,21693,Motonori Sakakibara
125,2690,Peter Weir
